,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified,variant
0,knn,0.8985148514851485,0.80625,0.859375,2.0,"{'classifier__n_neighbors': 60, 'classifier__p': 1, 'classifier__weights': 'uniform'}",2018-07-14 19:42:10,
1,svc_lin,0.8910891089108911,0.79375,0.828125,2.0,{'classifier__C': 1.9952623149688795},2018-07-14 19:42:20,
2,svc_rbf,0.9009900990099008,0.78125,0.921875,2.0,"{'classifier__C': 0.27825594022071259, 'classifier__gamma': 0.001}",2018-07-14 19:42:30,
3,rand_for,0.995049504950495,0.8,0.875,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",2018-07-14 19:43:21,
4,ada,0.9183168316831684,0.80625,0.96875,2.0,"{'classifier__learning_rate': 0.014873521072935119, 'classifier__n_estimators': 161}",2018-07-14 19:44:01,
5,gnb,0.8787128712871287,0.80625,0.9375,2.0,{'classifier__priors': None},2018-07-14 19:44:03,
6,log,0.8960396039603961,0.8375,0.859375,2.0,"{'classifier__C': 1.6102620275609394, 'classifier__penalty': 'l2'}",2018-07-14 19:44:12,
7,ann,0.9504950495049505,0.86875,0.859375,2.0,"{'classifier__activation': 'relu', 'classifier__alpha': 1.2000000000000002, 'classifier__hidden_layer_sizes': (100, 100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-14 19:59:19,
8,xgboost,1.0,0.78125,0.9375,2.0,"{'classifier__gamma': 0.031622776601683791, 'classifier__learning_rate': 0.20535250264571461, 'classifier__n_estimators': 100}",2018-07-14 19:59:33,
9,knn,0.9133663366336634,0.7375,0.8125,2.0,"{'classifier__n_neighbors': 26, 'classifier__p': 2, 'classifier__weights': 'uniform', 'kbest__k': 37}",2018-07-14 23:47:09,FSS
10,knn,1.0,0.675,0.6875,2.0,"{'classifier__n_neighbors': 69, 'classifier__p': 1, 'classifier__weights': 'distance', 'kbest__k': 20}",2018-07-15 11:21:41,FSS
11,svc_lin,0.8910891089108911,0.83125,0.796875,2.0,"{'classifier__C': 2.8183829312644537, 'kbest__k': 15}",2018-07-15 11:24:13,FSS
12,ada,0.9554455445544554,0.80625,0.90625,2.0,"{'classifier__learning_rate': 0.078804628156699127, 'classifier__n_estimators': 161, 'kbest__k': 30}",2018-07-15 11:32:02,FSS
13,gnb,0.8762376237623762,0.79375,0.90625,2.0,"{'classifier__priors': None, 'kbest__k': 37}",2018-07-15 11:32:09,FSS
14,log,0.8638613861386139,0.775,0.9375,2.0,"{'classifier__C': 17.433288221999881, 'classifier__penalty': 'l2', 'kbest__k': 15}",2018-07-15 11:32:19,FSS
15,rand_for,0.9777227722772276,0.75625,0.859375,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 25, 'kbest__k': 37}",2018-07-15 13:22:23,FSS
16,ann,1.0,0.73125,0.796875,2.0,"{'classifier__activation': 'relu', 'classifier__alpha': 0.4, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'adam', 'kbest__k': 15}",2018-07-15 14:52:20,FSS
17,xgboost,1.0,0.75625,0.796875,2.0,"{'classifier__gamma': 0.10000000000000001, 'classifier__learning_rate': 0.20535250264571461, 'classifier__n_estimators': 250, 'kbest__k': 15}",2018-07-15 14:52:47,FSS
