,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified,variant
0,knn,0.8235294117647058,0.8181818181818182,0.6875,2.0,"{'classifier__n_neighbors': 8, 'classifier__p': 1, 'classifier__weights': 'uniform'}",2018-07-14 21:26:17,
1,svc_lin,0.976470588235294,0.6818181818181818,0.8125,2.0,{'classifier__C': 1.0},2018-07-14 21:26:24,
2,svc_rbf,0.8235294117647058,0.8181818181818182,0.75,2.0,"{'classifier__C': 0.0016681005372000592, 'classifier__gamma': 9.9999999999999995e-08}",2018-07-14 21:26:32,
3,rand_for,1.0,0.9545454545454546,0.75,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 50}",2018-07-14 21:27:09,
4,ada,0.8235294117647058,0.8636363636363636,0.8125,2.0,"{'classifier__learning_rate': 0.0028072162039411755, 'classifier__n_estimators': 161}",2018-07-14 21:27:36,
5,gnb,0.8588235294117647,0.8181818181818182,0.75,2.0,{'classifier__priors': None},2018-07-14 21:27:38,
6,log,0.9529411764705882,0.8181818181818182,0.8125,2.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",2018-07-14 21:27:46,
7,ann,0.9411764705882352,0.7727272727272727,0.75,2.0,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.6000000000000001, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-14 21:32:23,
8,xgboost,1.0,0.5454545454545454,0.6875,2.0,"{'classifier__gamma': 0.01, 'classifier__learning_rate': 1.7782794100389228, 'classifier__n_estimators': 150}",2018-07-14 21:32:32,
9,knn,0.8235294117647058,0.8181818181818182,0.8125,2.0,"{'classifier__n_neighbors': 8, 'classifier__p': 1, 'classifier__weights': 'uniform'}",2018-07-14 23:06:53,
10,svc_lin,0.9764705882352941,0.6818181818181818,0.6875,2.0,{'classifier__C': 1.0},2018-07-14 23:07:00,
11,svc_rbf,0.8,0.8181818181818182,0.6875,2.0,"{'classifier__C': 0.27825594022071259, 'classifier__gamma': 9.9999999999999995e-08}",2018-07-14 23:07:08,
12,rand_for,1.0,0.9090909090909092,0.625,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",2018-07-14 23:07:45,
13,ada,1.0,0.7727272727272727,0.5625,2.0,"{'classifier__learning_rate': 0.10000000000000001, 'classifier__n_estimators': 181}",2018-07-14 23:08:11,
14,gnb,0.8588235294117647,0.9090909090909092,0.625,2.0,{'classifier__priors': None},2018-07-14 23:08:13,
15,log,0.9529411764705882,0.8181818181818182,0.6875,2.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",2018-07-14 23:08:21,
16,ann,0.9058823529411764,0.7727272727272727,0.6875,2.0,"{'classifier__activation': 'tanh', 'classifier__alpha': 1.5, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-14 23:13:18,
17,xgboost,1.0,0.7272727272727273,0.375,2.0,"{'classifier__gamma': 0.017782794100389229, 'classifier__learning_rate': 1.7782794100389228, 'classifier__n_estimators': 150}",2018-07-14 23:13:27,
18,knn,0.8235294117647058,0.8636363636363636,0.875,2.0,"{'classifier__n_neighbors': 8, 'classifier__p': 1, 'classifier__weights': 'uniform', 'kbest__k': 25}",2018-07-14 23:47:24,FSS
19,knn,1.0,0.7727272727272727,0.8125,2.0,"{'classifier__n_neighbors': 16, 'classifier__p': 3, 'classifier__weights': 'distance', 'kbest__k': 25}",2018-07-15 11:21:53,FSS
20,svc_lin,0.8588235294117647,0.8181818181818182,0.75,2.0,"{'classifier__C': 1.0, 'kbest__k': 10}",2018-07-15 11:24:20,FSS
21,ada,0.7411764705882353,0.6363636363636364,0.75,2.0,"{'classifier__learning_rate': 0.0010826367338740541, 'classifier__n_estimators': 101, 'kbest__k': 15}",2018-07-15 11:34:38,FSS
22,gnb,0.8235294117647058,0.8636363636363636,0.5625,2.0,"{'classifier__priors': None, 'kbest__k': 15}",2018-07-15 11:34:45,FSS
23,log,0.8470588235294118,0.7727272727272727,0.625,2.0,"{'classifier__C': 10.826367338740546, 'classifier__penalty': 'l1', 'kbest__k': 10}",2018-07-15 11:34:52,FSS
24,rand_for,0.9529411764705882,0.8181818181818182,0.875,2.0,"{'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 25, 'kbest__k': 37}",2018-07-15 14:57:04,FSS
25,ann,0.8705882352941177,0.8181818181818182,0.8125,2.0,"{'classifier__activation': 'relu', 'classifier__alpha': 0.9, 'classifier__hidden_layer_sizes': (100, 100, 100, 100), 'classifier__solver': 'sgd', 'kbest__k': 30}",2018-07-15 15:32:27,FSS
26,xgboost,1.0,0.9090909090909092,0.75,2.0,"{'classifier__gamma': 0.017782794100389229, 'classifier__learning_rate': 1.7782794100389228, 'classifier__n_estimators': 250, 'kbest__k': 30}",2018-07-15 15:32:41,FSS
