,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified
0,svc_lin,0.953020134228188,0.665625,0.6953125,2.0,{'classifier__C': 1.0297027305689221},2018-07-11 12:09:37
1,svc_lin,0.9362416107382552,0.6625,0.7421875,2.0,{'classifier__C': 1.1576021428364143},2018-07-11 19:54:11
2,svc_lin,0.9496644295302014,0.66875,0.6875,2.0,{'classifier__C': 4.3210890887505675},2018-07-11 19:54:18
3,svc_lin,0.9463087248322148,0.659375,0.6875,2.0,{'classifier__C': 1.0297027305689221},2018-07-11 19:54:27
4,svc_lin,0.9446308724832216,0.678125,0.6796875,10.0,{'classifier__C': 4.8578117159706746},2018-07-11 19:54:54
5,log,0.8456375838926175,0.746875,0.640625,10.0,"{'classifier__C': 2043.3597178569416, 'classifier__penalty': 'l2'}",2018-07-11 19:59:01
6,log,0.8489932885906041,0.71875,0.625,10.0,"{'classifier__C': 28.072162039411772, 'classifier__penalty': 'l2'}",2018-07-11 19:59:30
7,svc_rbf,0.9312080536912752,0.7625,0.6875,5.0,"{'classifier__C': 46.415888336127821, 'classifier__gamma': 0.001}",2018-07-11 20:08:55
8,svc_rbf,0.9379194630872484,0.75625,0.703125,5.0,"{'classifier__C': 46.415888336127821, 'classifier__gamma': 0.001}",2018-07-11 20:11:14
9,knn,1.0,0.5875,0.65625,5.0,"{'classifier__n_neighbors': 140, 'classifier__p': 1, 'classifier__weights': 'distance'}",2018-07-11 20:46:44
10,rand_for,0.9261744966442952,0.7,0.7109375,5.0,"{'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 50}",2018-07-11 21:58:08
11,ann,1.0,0.746875,0.7109375,5.0,"{'classifier__activation': 'relu', 'classifier__alpha': 0.30000000000000004, 'classifier__hidden_layer_sizes': (100, 100), 'classifier__solver': 'lbfgs'}",2018-07-12 02:28:23
12,gnb,0.7802013422818792,0.7375,0.8125,5.0,{'classifier__priors': None},2018-07-12 02:28:46
13,ada,0.8221476510067114,0.659375,0.7109375,5.0,"{'classifier__learning_rate': 0.0010826367338740541, 'classifier__n_estimators': 181}",2018-07-12 02:31:58
14,xgboost,1.0,0.771875,0.703125,5.0,"{'classifier__gamma': 0.017782794100389229, 'classifier__learning_rate': 0.20535250264571461, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",2018-07-12 02:51:59
