,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified
0,svc_lin,0.976470588235294,0.6818181818181818,0.875,2.0,{'classifier__C': 1.0},2018-07-13 16:32:20
1,log,0.9529411764705882,0.8181818181818182,0.875,2.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",2018-07-13 16:32:28
2,svc_rbf,0.8470588235294118,0.8181818181818182,0.9375,2.0,"{'classifier__C': 1.0000000000000001e-05, 'classifier__gamma': 0.001}",2018-07-13 16:32:49
3,knn,0.8117647058823529,0.8181818181818182,0.8125,2.0,"{'classifier__p': 1, 'classifier__weights': 'uniform'}",2018-07-13 16:49:59
4,rand_for,1.0,0.8636363636363636,0.875,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 75}",2018-07-13 16:50:36
5,ann,0.9294117647058824,0.8636363636363636,0.875,2.0,"{'classifier__activation': 'identity', 'classifier__alpha': 1.1, 'classifier__hidden_layer_sizes': (100, 100), 'classifier__solver': 'sgd'}",2018-07-13 16:55:06
6,gnb,0.8470588235294118,0.8181818181818182,0.8125,2.0,{'classifier__priors': None},2018-07-13 16:55:09
7,ada,0.8352941176470589,0.8181818181818182,0.75,2.0,"{'classifier__learning_rate': 0.0072789538439831459, 'classifier__n_estimators': 81}",2018-07-13 16:55:35
8,xgboost,1.0,0.8636363636363636,0.75,2.0,"{'classifier__gamma': 0.10000000000000001, 'classifier__learning_rate': 0.42169650342858223, 'classifier__n_estimators': 200}",2018-07-13 16:55:44
9,log,1.0,0.5909090909090909,0.625,2.0,"{'classifier__C': 8531.6785241728048, 'classifier__penalty': 'l1'}",2018-07-14 17:33:57
